ID,long,lat,weight,location,commune,district,voivodeship
212140894,19.9466385,50.0744437,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212151748,19.9118055,50.0314437,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212157532,19.9254993,50.036833,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212160982,19.9357774,50.0730271,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212163948,19.9429718,50.1081388,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212165919,19.9695271,50.0476663,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212189913,20.0041388,50.0727493,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212201519,20.018916,50.0844163,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212232057,19.9106666,50.0464441,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212237582,19.976916,50.0072222,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212257065,20.0056111,50.0418607,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212259840,19.9827771,50.0713604,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212266623,20.0520833,50.065,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212267434,19.9099166,50.0518333,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212269243,19.9630277,50.0592777,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212271819,20.0126111,50.0690826,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212273297,20.0123333,50.0690271,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212284497,19.9766937,50.0675826,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212307184,19.928916,50.0301382,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212307537,19.9314715,50.0484163,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212314020,19.8960552,50.078416,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212321288,19.8704993,50.0198048,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212322763,19.9463052,50.0716382,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212327690,19.9852774,50.0221937,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212338567,19.9506666,50.0626111,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212339897,19.9882496,50.0899718,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212362610,19.9356107,50.0738048,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207107280,19.9446107,50.0646666,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207116663,19.9404441,50.0506944,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207120198,19.9430274,50.06525,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207171130,19.953,50.0651944,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207222193,19.9645555,50.097083,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207233731,19.9813604,50.069666,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207242854,19.9408885,50.0225826,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207257528,19.9713604,50.0848607,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207279638,19.9533888,50.0503611,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207292991,19.9207493,50.0424718,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207352725,19.9113888,50.0942218,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207362035,19.9733048,50.0803326,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207367983,19.9243882,50.0403885,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207368267,19.926166,50.0092222,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207400411,19.9254715,50.0581111,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207066580,19.911,50.019916,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207148887,19.974666,50.0668882,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207149441,19.9630277,50.0399996,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207408888,19.9238882,50.0593888,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212076442,19.9695826,50.0854441,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212083876,19.9710271,50.0827215,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212100780,19.9332493,50.0473607,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212108173,19.9595,50.0580833,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212109565,19.9181104,50.0601111,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212116569,19.9336385,50.0631111,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212146762,19.9828882,50.0401385,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212183426,19.9314993,50.0304993,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207151067,19.9499718,50.0874163,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207152618,19.9329993,50.0634444,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207159822,19.897583,50.0708326,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207160840,19.96,50.0532777,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207162181,19.9372496,50.0553333,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207193895,20.0076666,50.0936385,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207205362,19.9456107,50.0155,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207220694,19.9827493,50.0714715,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207221163,19.9479163,50.0881385,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212185560,19.992833,50.0200548,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212194544,19.9707215,50.0331382,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212202605,19.8845552,50.0634166,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212255755,19.9672215,50.0060833,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212274734,19.9692493,50.0854441,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212290363,19.9351663,50.0728326,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212291858,19.9364718,50.0403607,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212296334,19.9362774,50.05025,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212304738,19.9444163,50.0573611,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212317319,19.9139444,50.0657222,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212348634,19.9437218,50.0704715,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212351625,20.038333,50.0725548,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207238843,19.9432218,50.0531388,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207244362,19.9652222,50.0573055,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207244572,19.9270826,50.0841107,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207279110,19.933833,50.0467774,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207298203,19.9795826,50.0683604,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207352723,19.8168326,50.0035277,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207364464,19.9362774,50.089083,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
211998110,19.9558888,50.0654166,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207108950,19.9695271,50.0342218,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207110265,20.0094722,50.0863885,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207139956,19.9061388,50.0456663,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207152444,19.8718326,49.988083,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207166031,19.9039722,50.0483885,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207172301,20.0407774,50.0893052,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207180383,19.9023055,50.0621944,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207186311,19.9042222,50.0724993,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207188493,19.9281937,50.0526944,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207201830,19.933333,50.0472774,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207211454,20.0457218,50.0691937,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207223549,19.9860552,50.0638888,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207238712,19.9000555,50.0724715,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207292668,19.9113333,50.0228326,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207354215,19.9278882,50.0678882,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207378001,19.9419163,50.0248604,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
211995717,19.9481385,50.0615833,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212035835,19.8820826,50.0681104,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212039583,19.9913607,50.017416,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212050330,19.9543055,50.0860552,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212073542,20.0075833,50.0939163,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212095195,19.953,50.0852496,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212116446,20.0360552,50.0384718,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212134795,19.9331104,50.0752215,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
